name	sample	num_seqs	limit
DNA_NFW_2e105_1M	DNA_NFW_2e105		1M
DNA_NFW_2e105_1.5M	DNA_NFW_2e105		1.5M
DNA_Comp_1e106_50k	DNA_Comp_1e106	1940224	50k
DNA_Comp_1e106_100k	DNA_Comp_1e106		100k
DNA_Comp_1e106_200k	DNA_Comp_1e106		200k
DNA_Comp_1e106_300k	DNA_Comp_1e106		300k
DNA_Comp_1e106_500k	DNA_Comp_1e106		500k
DNA_Comp_1e106_800k	DNA_Comp_1e106		800k
DNA_Comp_1e106_1M	DNA_Comp_1e106		1M
DNA_Comp_1e106_1.5M	DNA_Comp_1e106		1.5M
RNA_Grab_2e105_50k	RNA_Grab_2e105	2025098	50k
RNA_Grab_2e105_100k	RNA_Grab_2e105		100k
RNA_Grab_2e105_200k	RNA_Grab_2e105		200k
RNA_Grab_2e105_300k	RNA_Grab_2e105		300k
RNA_Grab_2e105_500k	RNA_Grab_2e105		500k
RNA_Grab_2e105_800k	RNA_Grab_2e105		800k
RNA_Grab_2e105_1M	RNA_Grab_2e105		1M
RNA_Grab_2e105_1.5M	RNA_Grab_2e105		1.5M
RNA_Grab_2e105_2M	RNA_Grab_2e105		2M
DNA_PS_2e105_50k	DNA_PS_2e105	2083762	50k
DNA_PS_2e105_100k	DNA_PS_2e105		100k
DNA_PS_2e105_200k	DNA_PS_2e105		200k
DNA_PS_2e105_300k	DNA_PS_2e105		300k
DNA_PS_2e105_500k	DNA_PS_2e105		500k
DNA_PS_2e105_800k	DNA_PS_2e105		800k
DNA_PS_2e105_1M	DNA_PS_2e105		1M
DNA_PS_2e105_1.5M	DNA_PS_2e105		1.5M
DNA_PS_2e105_2M	DNA_PS_2e105		2M
RNA_Comp_4e104_50k	RNA_Comp_4e104	2187362	50k
RNA_Comp_4e104_100k	RNA_Comp_4e104		100k
RNA_Comp_4e104_200k	RNA_Comp_4e104		200k
RNA_Comp_4e104_300k	RNA_Comp_4e104		300k
RNA_Comp_4e104_500k	RNA_Comp_4e104		500k
RNA_Comp_4e104_800k	RNA_Comp_4e104		800k
RNA_Comp_4e104_1M	RNA_Comp_4e104		1M
RNA_Comp_4e104_1.5M	RNA_Comp_4e104		1.5M
